"Марка","Модель","Год выпуска","Тип кузова","Объём двигателя","Пробег","Цена","Город","Дата публикации","Ссылка на объявление"
Hyundai,Palisade,2024,"Кроссовер","2.5 (бензин)","100 км","36 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191452480
Hyundai,Palisade,2025,"Кроссовер","2.5 (бензин)",,"36 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/182900811
HiPhi,Z,2023,Седан,,"6 000 км","24 500 000 ₸","Алматы",2025-07-02T23:15:16+05:00,https://kolesa.kz/a/show/191307545
Tank,500,2025,"Внедорожник","3 (бензин)","15 000 км","29 990 000 ₸","Алматы",2025-07-05T11:51:25+05:00,https://kolesa.kz/a/show/182645016
Toyota,4Runner,2023,"Внедорожник","4 (бензин)",,"22 500 000 ₸","Алматы",2025-07-07T10:19:35+05:00,https://kolesa.kz/a/show/193439608
Toyota,"Land Cruiser",2015,"Внедорожник","4.6 (бензин)",,"27 000 000 ₸","Алматы",2025-07-04T19:26:34+05:00,https://kolesa.kz/a/show/193264549
Ford,F-Series,2018,"Пикап","3.5 (бензин)","126 000 км","33 000 000 ₸","Алматы",2025-07-02T22:55:17+05:00,https://kolesa.kz/a/show/175599746
Mercedes-Benz,"G 55 AMG",2008,"Внедорожник","5.5 (бензин)","230 000 км","24 000 000 ₸","Алматы",2025-07-03T14:00:12+05:00,https://kolesa.kz/a/show/186094234
Toyota,"Land Cruiser",2012,"Внедорожник","4.6 (бензин)","206 000 км","25 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193441022
Mercedes-Benz,"GLE 43 AMG",2017,"Кроссовер","3 (бензин)","106 000 км","23 000 000 ₸","Алматы",2025-07-06T13:01:20+05:00,https://kolesa.kz/a/show/175673652
Kia,Carnival,2021,"Минивэн","3.5 (бензин)","61 000 км","20 500 000 ₸","Алматы",2025-07-07T10:55:10+05:00,https://kolesa.kz/a/show/191177746
Lexus,"RX 350",2022,"Кроссовер","3.5 (бензин)","15 км","38 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191521707
Toyota,"Land Cruiser",2015,"Внедорожник","4.6 (бензин)","124 000 км","26 500 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/163199126
Toyota,Highlander,2022,"Кроссовер","3.5 (бензин)","28 500 км","24 500 000 ₸","Алматы",2025-07-02T09:20:13+05:00,https://kolesa.kz/a/show/174061430
Toyota,"Land Cruiser Prado",2025,"Внедорожник","2.7 (бензин)",,"35 190 000 ₸","Алматы",2025-07-02T23:50:17+05:00,https://kolesa.kz/a/show/185697229
Toyota,Century,2000,Седан,"5 (бензин)","31 000 км","25 555 555 ₸","Алматы",2025-07-05T01:58:13+05:00,https://kolesa.kz/a/show/149162731
Lexus,"LX 570",2015,"Внедорожник","5.7 (бензин)","167 000 км","29 000 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/192815955
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","48 000 км","37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193254550
Mercedes-Benz,Sprinter,2019,"Фургон","3 (дизель)","78 000 км","31 000 000 ₸","Алматы",2025-07-02T09:49:56+05:00,https://kolesa.kz/a/show/193051454
Lexus,"LX 570",2015,"Внедорожник","5.7 (бензин)","138 759 км","27 500 000 ₸","Алматы",2025-06-30T22:33:46+05:00,https://kolesa.kz/a/show/192125389
Lexus,"LX 570",2015,"Внедорожник","5.7 (бензин)","138 547 км","27 500 000 ₸","Алматы",2025-06-30T22:35:10+05:00,https://kolesa.kz/a/show/192125940
Toyota,"Land Cruiser Prado",2020,"Внедорожник","2.7 (бензин)","141 500 км","24 500 000 ₸","Алматы",2025-07-02T00:48:58+05:00,https://kolesa.kz/a/show/189840020
Mercedes-Benz,"GL 500",2010,"Внедорожник","5.5 (бензин)","98 000 км","25 555 555 ₸","Алматы",2025-07-05T01:06:46+05:00,https://kolesa.kz/a/show/89024710
Porsche,911,2016,"Купе","3 (бензин)","70 000 км","30 000 000 ₸","Алматы",2025-07-02T14:59:59+05:00,https://kolesa.kz/a/show/188046069
Nissan,Patrol,2023,"Внедорожник","4.8 (бензин)","44 000 км","37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174369365
Lexus,"LX 570",2014,"Внедорожник","5.7 (бензин)","152 000 км","28 000 000 ₸","Алматы",2025-07-07T00:21:04+05:00,https://kolesa.kz/a/show/177626727
Mercedes-Benz,"S 500",2014,Седан,"4.7 (бензин)","87 000 км","20 500 000 ₸","Алматы",2025-07-06T21:33:16+05:00,https://kolesa.kz/a/show/175843724
Mercedes-Benz,"GLE Coupe 43 AMG",2017,"Кроссовер","3 (бензин)","61 850 км","37 700 000 ₸","Алматы",2025-07-02T20:47:08+05:00,https://kolesa.kz/a/show/193107417
Toyota,"Land Cruiser",2014,"Внедорожник","4 (бензин)","105 000 км","25 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189112255
Genesis,GV80,2020,"Кроссовер","2.5 (бензин)","140 115 км","25 500 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/193248182
Li,L7,2024,"Внедорожник","1.5 (гибрид)",,"26 490 000 ₸","Алматы",2025-07-01T14:30:26+05:00,https://kolesa.kz/a/show/181631772
Toyota,"Land Cruiser",2012,"Внедорожник","4.6 (бензин)","210 000 км","25 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193467302
Mercedes-Benz,"GLE 450",2021,"Кроссовер","3 (бензин)","49 000 км","37 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/172240818
"Polar Stone","Jishi 01",2024,"Внедорожник","1.5 (гибрид)","500 км","28 000 000 ₸","Алматы",2025-07-07T13:00:22+05:00,https://kolesa.kz/a/show/181823210
Mercedes-Benz,Sprinter,2017,"Микроавтобус","2.3 (бензин)","280 000 км","23 000 000 ₸","Алматы",2025-07-06T13:00:39+05:00,https://kolesa.kz/a/show/190960723
Toyota,"Land Cruiser Prado",2019,"Внедорожник","4 (бензин)","85 000 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193285108
Toyota,"Land Cruiser",2017,"Внедорожник","4.6 (бензин)","136 800 км","35 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193399259
BMW,X7,2018,"Кроссовер","3 (бензин)","114 000 км","32 000 000 ₸","Алматы",2025-07-03T19:30:40+05:00,https://kolesa.kz/a/show/188810778
Hyundai,Palisade,2023,"Кроссовер","3.8 (бензин)","40 000 км","27 000 000 ₸","Алматы",2025-07-04T19:35:33+05:00,https://kolesa.kz/a/show/190846244
Hyundai,Palisade,2023,"Кроссовер","3.5 (бензин)","8 420 км","37 000 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/191896063
Li,L7,2025,"Внедорожник","1.5 (гибрид)",,"26 490 000 ₸","Алматы",2025-07-01T14:30:24+05:00,https://kolesa.kz/a/show/182322936
Toyota,"Land Cruiser Prado",2024,"Внедорожник","2.7 (бензин)","1 км","34 490 000 ₸","Алматы",2025-07-07T11:26:17+05:00,https://kolesa.kz/a/show/174601433
BMW,X5,2019,"Кроссовер","3 (бензин)","60 000 км","36 666 999 ₸","Алматы",2025-06-30T23:59:59+05:00,https://kolesa.kz/a/show/188773476
Mercedes-Maybach,"S 500",2016,Седан,"4.7 (бензин)","40 369 км","38 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193213865
Toyota,"Land Cruiser",2013,"Внедорожник","4 (газ-бензин)","204 000 км","24 000 000 ₸","Алматы",2025-07-03T11:36:27+05:00,https://kolesa.kz/a/show/193147273
Toyota,"Land Cruiser",2018,"Внедорожник","4.6 (бензин)","86 800 км","36 500 000 ₸","Алматы",2025-07-06T00:35:40+05:00,https://kolesa.kz/a/show/190674657
Toyota,Tundra,2015,"Пикап","5.7 (бензин)","111 111 км","30 000 000 ₸","Алматы",2025-07-02T13:57:45+05:00,https://kolesa.kz/a/show/191159300
Cadillac,XT5,2023,"Кроссовер","2 (бензин)",,"24 900 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/175825465
Mercedes-Benz,"E 300",2022,"Купе","2 (бензин)","10 005 км","30 990 000 ₸","Алматы",2025-07-03T14:11:13+05:00,https://kolesa.kz/a/show/188632252
Kia,Carnival,2022,"Минивэн","3.5 (бензин)","59 000 км","21 000 000 ₸","Алматы",2025-07-06T23:20:47+05:00,https://kolesa.kz/a/show/191057290
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","29 000 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190306144
BMW,X5,2017,"Кроссовер","3 (бензин)","160 000 км","22 500 000 ₸","Алматы",2025-07-07T10:49:48+05:00,https://kolesa.kz/a/show/161539070
Li,L7,2024,"Кроссовер","1.5 (гибрид)","7 000 км","23 000 000 ₸","Алматы",2025-07-06T14:59:23+05:00,https://kolesa.kz/a/show/192872196
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","57 000 км","37 000 000 ₸","Алматы",2025-07-04T23:54:54+05:00,https://kolesa.kz/a/show/191999671
Mercedes-Benz,"E 430",2001,Седан,"4.3 (бензин)","27 000 км","21 500 000 ₸","Алматы",2025-07-02T23:57:03+05:00,https://kolesa.kz/a/show/168395020
Aito,M9,2024,"Внедорожник","1.5 (гибрид)",,"36 690 000 ₸","Алматы",2025-07-01T14:30:22+05:00,https://kolesa.kz/a/show/182711325
BYD,"FangChengBao Leopard 8",2025,"Внедорожник","2 (гибрид)","15 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191519252
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","220 000 км","23 000 000 ₸","Алматы",2025-07-06T15:55:31+05:00,https://kolesa.kz/a/show/193390654
Toyota,"Land Cruiser Prado",2019,"Внедорожник","2.7 (бензин)","68 000 км","22 500 000 ₸","Алматы",2025-07-07T08:02:12+05:00,https://kolesa.kz/a/show/186338341
Lexus,"LX 570",2016,"Внедорожник","5.7 (бензин)","300 000 км","35 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193450306
Lexus,"GX 460",2021,"Внедорожник","4.6 (бензин)",,"30 000 000 ₸","Алматы",2025-07-02T11:06:08+05:00,https://kolesa.kz/a/show/185684446
BMW,540,2018,Седан,"3 (бензин)","57 000 км","28 000 000 ₸","Алматы",2025-07-07T13:45:42+05:00,https://kolesa.kz/a/show/193454346
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","133 000 км","37 000 000 ₸","Алматы",2025-07-06T01:52:15+05:00,https://kolesa.kz/a/show/169397836
Jeep,"Grand Cherokee",2014,"Внедорожник","6.4 (бензин)",,"28 000 000 ₸","Алматы",2025-07-07T04:29:12+05:00,https://kolesa.kz/a/show/193432037
Toyota,GR86,2022,"Купе","2.4 (бензин)","27 000 км","21 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/191056733
Ford,F-Series,2012,"Пикап","6.2 (бензин)","149 000 км","24 900 000 ₸","Алматы",2025-07-07T10:23:31+05:00,https://kolesa.kz/a/show/184314678
Audi,Q8,2020,"Кроссовер","3 (бензин)","41 000 км","36 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190237263
Li,L9,2023,"Кроссовер","1.5 (бензин)","89 000 км","20 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193185051
Nio,ET7,2023,Седан,,"31 000 км","30 000 000 ₸","Алматы",2025-07-02T09:51:43+05:00,https://kolesa.kz/a/show/184177886
Toyota,"Land Cruiser Prado",2020,"Внедорожник","4 (бензин)","103 000 км","28 990 000 ₸","Алматы",2025-07-02T17:58:57+05:00,https://kolesa.kz/a/show/184077627
Toyota,"Grand Highlander",2024,"Кроссовер","2.4 (бензин)","13 000 км","33 000 000 ₸","Алматы",2025-07-02T18:00:58+05:00,https://kolesa.kz/a/show/188129272
BMW,X5,2022,"Кроссовер","2 (бензин)","1 000 км","37 000 000 ₸","Алматы",2025-07-04T13:35:16+05:00,https://kolesa.kz/a/show/191459678
Avatr,12,2024,Седан,,,"25 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/186212359
Toyota,Highlander,2021,"Кроссовер","3.5 (бензин)",,"24 000 000 ₸","Алматы",2025-07-03T13:43:43+05:00,https://kolesa.kz/a/show/166779176
Lexus,"LX 570",2016,"Внедорожник","5.7 (бензин)","119 000 км","38 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191948359
Toyota,"Land Cruiser",2017,"Внедорожник","4.6 (бензин)","84 000 км","36 500 000 ₸","Алматы",2025-07-06T11:52:06+05:00,https://kolesa.kz/a/show/188203425
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","2 800 км","38 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/188764924
Mercedes-Benz,"GLE 350",2021,"Кроссовер","2 (бензин)","48 000 км","27 500 000 ₸","Алматы",2025-06-30T23:59:59+05:00,https://kolesa.kz/a/show/190878361
Tesla,"Model X",2018,"Кроссовер",,"21 000 км","27 000 000 ₸","Алматы",2025-07-04T16:44:18+05:00,https://kolesa.kz/a/show/130058773
Genesis,GV80,2021,"Кроссовер","2.5 (бензин)","32 000 км","32 000 000 ₸","Алматы",2025-07-03T16:57:36+05:00,https://kolesa.kz/a/show/182756881
Lexus,"RX 350",2016,"Кроссовер","3.5 (бензин)","85 234 км","21 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/191628008
Mercedes-Benz,"S 400",2016,Седан,"3 (бензин)","204 000 км","21 500 000 ₸","Алматы",2025-07-02T23:51:17+05:00,https://kolesa.kz/a/show/193116225
Lexus,"LX 570",2012,"Внедорожник","5.7 (бензин)","270 000 км","25 500 000 ₸","Алматы",2025-07-05T07:46:41+05:00,https://kolesa.kz/a/show/179137807
Mercedes-Benz,"GLE 450",2020,"Кроссовер","3 (бензин)","44 000 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193330660
BMW,X1,2024,"Кроссовер","2 (бензин)","55 км","24 000 000 ₸","Алматы",2025-07-03T11:48:42+05:00,https://kolesa.kz/a/show/193149328
Toyota,Fortuner,2022,"Внедорожник","4 (бензин)",,"26 500 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/192950520
Mercedes-Benz,"C 300",2022,Седан,"2 (бензин)","18 000 км","32 000 000 ₸","Алматы",2025-07-03T17:05:48+05:00,https://kolesa.kz/a/show/190748866
Lexus,"LX 570",2016,"Внедорожник","5.7 (бензин)",,"37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192687048
Genesis,GV80,2021,"Кроссовер","3.5 (бензин)","55 000 км","36 500 000 ₸","Алматы",2025-07-06T16:23:00+05:00,https://kolesa.kz/a/show/174370704
Ford,Bronco,2022,"Внедорожник","2.7 (бензин)","25 000 км","27 777 000 ₸","Алматы",2025-07-05T08:10:59+05:00,https://kolesa.kz/a/show/179420296
BMW,530,2021,Седан,"2 (бензин)","29 800 км","27 000 000 ₸","Алматы",2025-07-04T19:25:49+05:00,https://kolesa.kz/a/show/190845613
Li,L9,2025,"Кроссовер","1.5 (бензин)","100 км","32 000 000 ₸","Алматы",2025-07-03T23:25:57+05:00,https://kolesa.kz/a/show/193205131
Lexus,"GX 460",2017,"Внедорожник","4.6 (бензин)","110 000 км","26 550 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/193047199
Mercedes-Benz,"CLS 450",2020,Седан,"3 (бензин)","68 000 км","36 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187748101
BMW,X5,2019,"Кроссовер","3 (бензин)","74 000 км","35 200 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/190372945
Dodge,Durango,2023,"Внедорожник","5.7 (бензин)","31 000 км","33 000 000 ₸","Алматы",2025-07-03T10:22:40+05:00,https://kolesa.kz/a/show/192494321
Toyota,Highlander,2022,"Кроссовер","3.5 (бензин)","45 000 км","22 500 000 ₸","Алматы",2025-07-07T01:00:25+05:00,https://kolesa.kz/a/show/184871937
Cadillac,XT5,2021,"Кроссовер","2 (бензин)","28 000 км","21 000 000 ₸","Алматы",2025-07-06T22:13:07+05:00,https://kolesa.kz/a/show/174660858
Toyota,Fortuner,2023,"Внедорожник","2.7 (бензин)","6 000 км","24 000 000 ₸","Алматы",2025-07-03T06:56:34+05:00,https://kolesa.kz/a/show/185712136
Hyundai,Grandeur,2022,Седан,"2.5 (бензин)","13 000 км","21 500 000 ₸","Алматы",2025-07-02T21:55:31+05:00,https://kolesa.kz/a/show/160598242
Toyota,Sienna,2020,"Минивэн","2.5 (гибрид)","85 000 км","20 500 000 ₸","Алматы",2025-07-06T19:08:50+05:00,https://kolesa.kz/a/show/191038740
Toyota,Supra,2022,"Купе","3 (бензин)","10 000 км","36 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191928172
Mercedes-Benz,"GLE Coupe 43 AMG",2018,"Кроссовер","3 (бензин)","51 000 км","31 000 000 ₸","Алматы",2025-07-01T19:55:31+05:00,https://kolesa.kz/a/show/174341514
Mercedes-Benz,"G 63 AMG",2013,"Внедорожник","5.5 (бензин)","98 000 км","33 000 000 ₸","Алматы",2025-07-02T14:46:17+05:00,https://kolesa.kz/a/show/190525222
Mercedes-Benz,"S 400",2014,Седан,"3 (бензин)","130 000 км","22 500 000 ₸","Алматы",2025-07-07T00:42:14+05:00,https://kolesa.kz/a/show/193380575
BMW,X5,2020,"Кроссовер","3 (бензин)","53 000 км","37 000 000 ₸","Алматы",2025-07-04T09:17:14+05:00,https://kolesa.kz/a/show/188473013
Genesis,GV80,2023,"Кроссовер","2.5 (бензин)","32 000 км","33 000 000 ₸","Алматы",2025-07-02T12:20:48+05:00,https://kolesa.kz/a/show/193063374
Toyota,"Land Cruiser Prado",2013,"Внедорожник","4 (бензин)","200 000 км","20 500 000 ₸","Алматы",2025-07-06T16:10:49+05:00,https://kolesa.kz/a/show/192891742
Ford,"Mustang Mach-E",2022,"Кроссовер",,"34 500 км","25 000 000 ₸","Алматы",2025-07-07T16:37:15+05:00,https://kolesa.kz/a/show/187957550
Mercedes-Benz,"G 63 AMG",2015,"Внедорожник","5.5 (бензин)","111 000 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/182579165
Subaru,Ascent,2023,"Кроссовер","2.4 (бензин)","18 000 км","25 500 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/185636341
Lexus,"LX 570",2013,"Внедорожник","5.7 (бензин)","194 000 км","22 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/191939994
Mercedes-Benz,"GLB 250",2025,"Кроссовер","2 (бензин)",,"36 862 953 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189446003
MG,Cyberster,2024,"Родстер",,,"32 000 000 ₸","Алматы",2025-07-03T16:43:59+05:00,https://kolesa.kz/a/show/190135409
BMW,X7,2019,"Кроссовер","4.4 (бензин)","125 000 км","38 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183550217
Maserati,Levante,2018,"Кроссовер","3 (бензин)","90 000 км","38 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/188324986
Mercedes-Benz,"GLE Coupe 63 AMG",2016,"Кроссовер","5.5 (бензин)","170 000 км","28 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/192656892
Kia,K8,2022,Седан,"3.5 (бензин)",,"27 035 000 ₸","Алматы",2025-07-04T13:13:03+05:00,https://kolesa.kz/a/show/193238199
Li,L9,2024,"Внедорожник","1.5 (гибрид)",,"31 000 000 ₸","Алматы",2025-07-01T13:33:36+05:00,https://kolesa.kz/a/show/184898898
BMW,X5,2022,"Кроссовер","3 (бензин)","60 000 км","36 500 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/192332364
Aito,M9,2025,"Внедорожник","1.5 (гибрид)",,"37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/182678412
Hyundai,Palisade,2025,"Кроссовер","2.5 (бензин)","65 км","38 700 000 ₸","Алматы",2025-07-07T15:49:53+05:00,https://kolesa.kz/a/show/189045626
GAC,"Trumpchi M8",2024,"Минивэн","2 (бензин)",,"20 990 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/173371764
Toyota,"Land Cruiser",2016,"Внедорожник","4.5 (дизель)","230 000 км","31 000 000 ₸","Алматы",2025-07-01T14:18:40+05:00,https://kolesa.kz/a/show/185172024
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","39 000 км","36 500 000 ₸","Алматы",2025-07-05T13:10:01+05:00,https://kolesa.kz/a/show/183961200
Kia,Carnival,2023,"Минивэн","3.5 (бензин)",,"20 905 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192891895
BMW,"X5 M",2016,"Кроссовер","4.4 (бензин)","16 500 км","36 000 000 ₸","Алматы",2025-07-07T11:06:21+05:00,https://kolesa.kz/a/show/185339267
Toyota,"Land Cruiser",2018,"Внедорожник","4.6 (бензин)","90 000 км","37 800 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/190828871
Toyota,4Runner,2023,"Внедорожник","4 (бензин)","16 000 км","37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191783084
Toyota,"Land Cruiser Prado",2022,"Внедорожник","4 (бензин)","30 000 км","34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193363337
Toyota,"Land Cruiser",2019,"Внедорожник","4.6 (бензин)",,"35 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193300320
Porsche,Panamera,2016,"Лифтбек","3 (бензин)","140 000 км","27 000 000 ₸","Алматы",2025-07-04T11:29:48+05:00,https://kolesa.kz/a/show/191471855
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","172 000 км","31 000 000 ₸","Алматы",2025-06-30T23:59:59+05:00,https://kolesa.kz/a/show/191794970
Toyota,"Land Cruiser Prado",2019,"Внедорожник","4 (бензин)","100 000 км","29 000 000 ₸","Алматы",2025-07-02T11:37:34+05:00,https://kolesa.kz/a/show/173538004
Toyota,"Land Cruiser",2012,"Внедорожник","4 (бензин)",,"23 000 000 ₸","Алматы",2025-07-06T11:50:52+05:00,https://kolesa.kz/a/show/188733872
Toyota,"Land Cruiser Prado",2020,"Внедорожник","2.7 (бензин)","75 000 км","24 000 000 ₸","Алматы",2025-07-02T22:39:05+05:00,https://kolesa.kz/a/show/193116711
Infiniti,QX80,2018,"Внедорожник","5.6 (бензин)","85 000 км","30 000 000 ₸","Алматы",2025-07-02T08:32:52+05:00,https://kolesa.kz/a/show/193047562
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","4 850 км","22 550 000 ₸","Алматы",2025-07-06T19:00:43+05:00,https://kolesa.kz/a/show/188456567
Mercedes-Benz,"G 63 AMG",2014,"Внедорожник","5.5 (бензин)","148 000 км","36 000 000 ₸","Алматы",2025-07-07T11:20:23+05:00,https://kolesa.kz/a/show/191326043
BMW,420,2022,"Лифтбек","2 (бензин)","90 000 км","33 000 000 ₸","Алматы",2025-07-02T09:41:20+05:00,https://kolesa.kz/a/show/179942535
Toyota,Fortuner,2022,"Внедорожник","2.8 (дизель)","45 000 км","21 500 000 ₸","Алматы",2025-07-02T18:28:11+05:00,https://kolesa.kz/a/show/187221874
BMW,340,2021,Седан,"3 (бензин)","35 000 км","27 500 000 ₸","Алматы",2025-06-30T21:00:12+05:00,https://kolesa.kz/a/show/186519340
Hyundai,Palisade,2020,"Кроссовер","3.8 (бензин)","60 000 км","21 000 000 ₸","Алматы",2025-07-06T16:21:45+05:00,https://kolesa.kz/a/show/191683940
Lexus,"LX 570",2015,"Внедорожник","5.7 (бензин)","165 000 км","28 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193379799
Hyundai,Staria,2021,"Минивэн","3.5 (газ)","50 000 км","21 000 000 ₸","Алматы",2025-07-06T19:13:01+05:00,https://kolesa.kz/a/show/193404005
BYD,"FangChengBao Leopard 8",2025,"Внедорожник","2 (гибрид)",,"34 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189927344
Toyota,Sequoia,2011,"Внедорожник","5.7 (бензин)","150 000 км","20 500 000 ₸","Алматы",2025-07-06T13:57:00+05:00,https://kolesa.kz/a/show/193382642
Mercedes-Benz,"S 500",2015,Седан,"4.7 (бензин)",,"33 000 000 ₸","Алматы",2025-07-01T23:05:56+05:00,https://kolesa.kz/a/show/192325962
Cadillac,XT5,2023,"Кроссовер","2 (бензин)",,"24 900 000 ₸","Алматы",2025-07-05T23:59:59+05:00,https://kolesa.kz/a/show/175836088
Kia,K8,2021,Седан,"3.5 (бензин)","56 500 км","24 000 000 ₸","Алматы",2025-07-02T21:08:52+05:00,https://kolesa.kz/a/show/190866784
Mercedes-Benz,"E 63 AMG",2014,"Купе","5.5 (бензин)","90 000 км","28 000 000 ₸","Алматы",2025-07-06T18:40:49+05:00,https://kolesa.kz/a/show/191875527
Mercedes-Benz,"GLE 450",2021,"Кроссовер","3 (бензин)","63 000 км","37 900 000 ₸","Алматы",2025-07-03T14:41:11+05:00,https://kolesa.kz/a/show/179110108
Mercedes-Benz,"GL 63 AMG",2013,"Внедорожник","5.5 (бензин)","61 202 км","20 490 000 ₸","Алматы",2025-07-07T19:32:19+05:00,https://kolesa.kz/a/show/192209763
Toyota,"Land Cruiser",2012,"Внедорожник","4.6 (бензин)","173 000 км","21 000 000 ₸","Алматы",2025-07-06T18:05:59+05:00,https://kolesa.kz/a/show/193399043
BMW,X5,2019,"Кроссовер","3 (бензин)","198 000 км","29 000 000 ₸","Алматы",2025-07-02T15:51:29+05:00,https://kolesa.kz/a/show/193081584
Mercedes-Benz,"E 63 AMG",2014,Седан,"5.5 (бензин)","100 000 км","24 900 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/190513972
Toyota,"Land Cruiser",2012,"Внедорожник","4 (газ-бензин)",,"28 000 000 ₸","Алматы",2025-07-06T20:55:00+05:00,https://kolesa.kz/a/show/193064647
MG,Cyberster,2025,"Родстер",,"5 км","29 000 000 ₸","Алматы",2025-07-02T13:45:26+05:00,https://kolesa.kz/a/show/184145181
Mercedes-Benz,"G 63 AMG",2014,"Внедорожник","5.5 (бензин)","107 000 км","37 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183235999
Cadillac,XT6,2023,"Кроссовер","2 (бензин)",,"37 900 000 ₸","Алматы",2025-07-04T11:10:28+05:00,https://kolesa.kz/a/show/179173691
